model,asw,swid,user
JQA3OBCT52,ASW0004wgd,SW34,Capella05
3BJQ2QZN65,ASW0002p8y,SW29,Capella05
EYVRGDM2OE,ASW0008qsm,SW28,Capella05
M36RZR4OC4,ASW00070vl,SW52,Capella05
CCZG2QBCV3,ASW0007sez,SW53,C_cld
Y4NEUEI45Y,ASW00021r0,SW30,C_cld
HOHZKGVFHT,ASW0004m3x,SW20,Capella05
2CZ5QU37NJ,ASW00021r0,SW30,Capella05
BFXRMIQEAT,ASW0008xbu,,ElisabethB
XZDGINWFYY,ASW0006mea,SW03,Capella05
5WB7AO4WUY,ASW00008a0,SW49,Capella05
M6IXERVPB4,ASW0008qsm,,ElisabethB
D4UQI6M3ZU,ASW0007hu2,SW17,Capella05
ZHRZSBEAN5,ASW000096t,,ElisabethB
XF5TQSXZDQ,ASW0000g95,,Capella05
6IU7DLN5GK,ASW00085cp,,ElisabethB
EPEDEGOBNV,ASW00021r0,SW30,Capella05
VTGDU6KOBA,ASW0004m3x,SW20,Capella05
I2AODKYMKN,ASW0004m3x,SW20,Capella05
PGTZG3KCTV,ASW0004m3x,SW20,Capella05
7IPP7LWVOF,ASW000096t,SW35,Capella05
KCX5ZKZCYU,ASW0009cox,SW37,Capella05
CLH5R3M5SP,ASW0009cox,,ElisabethB
5P5PSM2PUJ,ASW0009cox,,ElisabethB
ZQTCPBN3ZE,ASW00008a0,,ElisabethB
TQKS2E5S7H,ASW0008qsm,SW28,C_cld
QZROE23AUH,ASW0004m3x,SW20,C_cld
13589,ASW0006a07,SW51,C_cld
P5W2HUVWX3,ASW0004xjk,,ElisabethB
EL3RTBLAWB,ASW00024id,SW44,C_cld
KEDFRTYJXH,ASW00007ls ASW000066w,SW48,C_cld
SI4ELBAKL2,ASW0007sez,,ElisabethB
UHUIOLRHVW,ASW00021r0,SW30,Capella05
SYTNGELH3Q,ASW00021r0,SW30,Capella05
VHV6RQYYKZ,ASW0007pga,SW55,Capella05
L5TWWXPEJV,ASW0001ld7,SW18,C_cld
GSI5A6JUYX,ASW0006jh5,SW26,C_cld
FFIENOES3L,ASW0002qtn,SW10,C_cld
HISGRAIZL2,ASW00099ed,,C_cld
2SU75GA4XN,ASW0008qsm,SW28,C_cld
TOFS7JNGEK,ASW0008qsm,SW29,psaha
GVYUDXDXLB,ASW00096rm,,psaha
23WB343MWG,ASW0000wqt,,
2A4RPZLJXW,ASW0000100,,
2CZ5QU37NJ,ASW00021r0,,
2GQJURWGZM,ASW0008qab,,
2KKAJDVL6U,ASW00042d9,,
2LPJNLJ5FH,ASW0000h2m,,
2SBWQKX22V,ASW0000h2m,,
2SU75GA4XN,ASW0008qsm,,
2VR4GPC2FU,ASW0001ld7,,
374NZOJ7IM,ASW0009cp0,,
3BJQ2QZN65,ASW0002p8y,,
3CZKRVCD4A,ASW0006hn5,,
3NYJG67KRT,ASW0002dx7,,
3TUJKHGED4,ASW0002qtn,,
3YOBKRDJMX,ASW00004k0,,
43S62WJQ2F,ASW00097xm,,
4HC3CREEAD,ASW0003r6c,,
4NKLOD4KQD,ASW0009auu,,
4Q3YCEWGLN,ASW00096rm,,
4RPELREDGW,ASW0002e7v,,
4TI677H3WU,ASW0006jh5,,
4UFEW5R5W3,ASW0004nan,,
4WTOAVW7ZW,ASW0008qab,,
4XBJWT3COV,ASW0007iwp,,
4YZYCJGYPN,ASW0005mp6,,
57KRFQ2GZO,ASW00096rm,,
5ADKYZHUSF,ASW00057f5,,
5EKMWWVJHL,ASW0002asp,,
5I4UW73M73,ASW0007t5y,,
5KOQG45XYQ,ASW00071fc,,
5LLJENQLGT,ASW00077jj,,
5P5PSM2PUJ,ASW0009cox,,
5R6UYQZUTI,ASW0001c3j,,
5SXGXQYY6V,ASW0008pag,,
5U7LIYDYHB,ASW0008qab,,
5URN3BQFSV,ASW0006jh5,,
5WB7AO4WUY,ASW00008a0,,
5WCTAXPI57,ASW0009auu,,
5WQDNJC7A2,ASW0008qsm,,
5ZZKUM3SWL,ASW0005ma2,,
67GLBVRIEU,ASW0009cox,,
6IU7DLN5GK,ASW00085cp,,
6L6NTZUFHP,ASW000066w,,
6VSOB22KVS,ASW00018yo,,
7DXF6FTP44,ASW0004xjk,,
7IPP7LWVOF,ASW000096t,,
7LK5DSWGIT,ASW0002fq1,,
7QU6SIA6YH,ASW0001c3j,,
7SDAK7C7GP,ASW00019n9,,
A6UPEGOHT5,ASW0000g95,,
AAKHMTYTMS,ASW0005rnb,,
AH6642ORPC,ASW0002dx7,,
AJE7QIXXPA,ASW0005rnb,,
AJIBCHQ6EM,ASW0007k4r,,
AMA6R2SYYF,ASW0001csb,,
ANLNZDLGFF,ASW0005ma2,,
AXO5WSFKRZ,ASW0009ah7,,
B4PYYG5JSO,ASW0001csb,,
B7S2OP7PZR,ASW0009ah7,,
BCY2NOUSLK,ASW0008swn,,
BFXRMIQEAT,ASW0008xbu,,
BL5HGOKDXT,ASW00023pg,,
BLCAAUSI3K,ASW0001hpf,,
BPAV4GVOPP,ASW00070vl,,
BWURZ5RWCG,ASW00097xm,,
BYQATMOXCM,ASW00086xq,,
C6H3MBX3CI,ASW00097xm,,
C7Y3NFNN22,ASW00071fc,,
CCZG2QBCV3,ASW0007sez,,
CGMKAY56PH,ASW0004nan,,
CLH5R3M5SP,ASW0009cox,,
CN5XYWWN4K,ASW0000p5i,,
CP77WIBRJ2,ASW0009ah7,,
CQOFN27HYZ,ASW0006hn5,,
D3Z2LT7UEY,ASW00099ed,,
D4UQI6M3ZU,ASW0007hu2,,
DGF4BEHAG6,ASW0000p5i,,
DHCOMTUAOI,ASW0008qsm,,
DLDC4N7SOR,ASW0008qsm,,
DTNM2FJRHY,ASW0002b6m,,
DU2AKRBJYL,ASW00018yo,,
E663NDQICM,ASW0001lb5,,
EAVZH67N4M,ASW0000101,,
ECXCIRBDUJ,ASW0003s0m,,
EFXNFHZ4I6,ASW0007sez,,
EL3RTBLAWB,ASW00024id,,
